product_category_name,category_english,category_english_group,is_hedonic,is_experience,matrix_quadrant
beleza_saude,health_beauty,health_beauty,1,1,Q4: Experience & Hedonic (High-Risk Indulgences)
informatica_acessorios,computers_accessories,computers_accessories,0,0,Q1: Search & Utilitarian (Functional Staples)
automotivo,auto,auto,0,0,Q1: Search & Utilitarian (Functional Staples)
cama_mesa_banho,bed_bath_table,bed_bath_table,0,1,Q3: Experience & Utilitarian (Reluctant Online Necessities)
moveis_decoracao,furniture_decor,furniture_decor,0,1,Q3: Experience & Utilitarian (Reluctant Online Necessities)
esporte_lazer,sports_leisure,sports_leisure,1,1,Q4: Experience & Hedonic (High-Risk Indulgences)
perfumaria,perfumery,perfumery,1,1,Q4: Experience & Hedonic (High-Risk Indulgences)
utilidades_domesticas,housewares,housewares,0,1,Q3: Experience & Utilitarian (Reluctant Online Necessities)
telefonia,telephony,telephony,0,0,Q1: Search & Utilitarian (Functional Staples)
relogios_presentes,watches_gifts,watches_gifts,1,1,Q4: Experience & Hedonic (High-Risk Indulgences)
alimentos_bebidas,food_drink,food_and_drink,0,1,Q3: Experience & Utilitarian (Reluctant Online Necessities)
bebes,baby,baby,0,1,Q3: Experience & Utilitarian (Reluctant Online Necessities)
papelaria,stationery,stationery,0,0,Q1: Search & Utilitarian (Functional Staples)
tablets_impressao_imagem,tablets_printing_image,tablets_printing_image,0,0,Q1: Search & Utilitarian (Functional Staples)
brinquedos,toys,toys,1,0,Q2: Search & Hedonic (Instant Digital Dopamine)
telefonia_fixa,fixed_telephony,fixed_telephony,0,0,Q1: Search & Utilitarian (Functional Staples)
ferramentas_jardim,garden_tools,garden_tools,0,0,Q1: Search & Utilitarian (Functional Staples)
fashion_bolsas_e_acessorios,fashion_bags_accessories,fashion_bags_accessories,1,1,Q4: Experience & Hedonic (High-Risk Indulgences)
eletroportateis,small_appliances,small_appliances,0,0,Q1: Search & Utilitarian (Functional Staples)
consoles_games,consoles_games,consoles_games,1,0,Q2: Search & Hedonic (Instant Digital Dopamine)
audio,audio,audio,1,0,Q2: Search & Hedonic (Instant Digital Dopamine)
fashion_calcados,fashion_shoes,fashion_shoes,1,1,Q4: Experience & Hedonic (High-Risk Indulgences)
cool_stuff,cool_stuff,cool_stuff,1,0,Q2: Search & Hedonic (Instant Digital Dopamine)
malas_acessorios,luggage_accessories,luggage_accessories,1,1,Q4: Experience & Hedonic (High-Risk Indulgences)
climatizacao,air_conditioning,air_conditioning,0,0,Q1: Search & Utilitarian (Functional Staples)
construcao_ferramentas_construcao,construction_tools_construction,construction_tools_construction,0,0,Q1: Search & Utilitarian (Functional Staples)
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture,kitchen_dining_laundry_garden_furniture,0,1,Q3: Experience & Utilitarian (Reluctant Online Necessities)
construcao_ferramentas_jardim,construction_tools_garden,construction_tools_garden,0,0,Q1: Search & Utilitarian (Functional Staples)
fashion_roupa_masculina,fashion_male_clothing,fashion_male_clothing,1,1,Q4: Experience & Hedonic (High-Risk Indulgences)
pet_shop,pet_shop,pet_shop,0,1,Q3: Experience & Utilitarian (Reluctant Online Necessities)
moveis_escritorio,office_furniture,office_furniture,0,0,Q1: Search & Utilitarian (Functional Staples)
market_place,market_place,market_place,0,1,Q3: Experience & Utilitarian (Reluctant Online Necessities)
eletronicos,electronics,electronics,0,0,Q1: Search & Utilitarian (Functional Staples)
eletrodomesticos,home_appliances,home_appliances,0,0,Q1: Search & Utilitarian (Functional Staples)
artigos_de_festas,party_supplies,party_supplies,1,0,Q2: Search & Hedonic (Instant Digital Dopamine)
casa_conforto,home_comfort,home_comfort,0,1,Q3: Experience & Utilitarian (Reluctant Online Necessities)
construcao_ferramentas_ferramentas,construction_tools_tools,construction_tools_tools,0,0,Q1: Search & Utilitarian (Functional Staples)
agro_industria_e_comercio,agro_industry_and_commerce,agro_industry_and_commerce,0,0,Q1: Search & Utilitarian (Functional Staples)
moveis_colchao_e_estofado,furniture_mattress_and_upholstery,furniture_mattress_and_upholstery,0,1,Q3: Experience & Utilitarian (Reluctant Online Necessities)
livros_tecnicos,books_technical,books_technical,0,0,Q1: Search & Utilitarian (Functional Staples)
casa_construcao,home_construction,home_construction,0,0,Q1: Search & Utilitarian (Functional Staples)
instrumentos_musicais,musical_instruments,musical_instruments,1,0,Q2: Search & Hedonic (Instant Digital Dopamine)
moveis_sala,furniture_living_room,furniture_living_room,0,1,Q3: Experience & Utilitarian (Reluctant Online Necessities)
